ETC, GBP
2016-08-27-03-00, 1.065958
2016-08-27-04-00, 1.065230
2016-08-27-05-00, 1.064237
2016-08-27-06-00, 1.076651
2016-08-27-07-00, 1.077654
2016-08-27-08-00, 1.079698
2016-08-27-09-00, 1.076884
2016-08-27-10-00, 1.077784
2016-08-27-11-00, 1.079312
2016-08-27-12-00, 1.098603
2016-08-27-13-00, 1.098351
2016-08-27-14-00, 1.096187
2016-08-27-15-00, 1.091616
2016-08-27-16-00, 1.088864
2016-08-27-17-00, 1.089298
2016-08-27-18-00, 1.087109
2016-08-27-19-00, 1.086230
2016-08-27-20-00, 1.086160
2016-08-27-21-00, 1.087308
2016-08-27-22-00, 1.086866
2016-08-27-23-00, 1.088027
2016-08-28-00-00, 1.017327
2016-08-28-01-00, 1.014960
2016-08-28-02-00, 1.013108
2016-08-28-03-00, 1.014610
2016-08-28-04-00, 1.014688
2016-08-28-05-00, 1.015384
2016-08-28-06-00, 1.004816
2016-08-28-07-00, 1.005423
2016-08-28-08-00, 1.006173
2016-08-28-09-00, 1.007129
